english_text,category,emotion,instruction,target_duration_sec,hint
"Yes, that is correct.",SHORT_PHRASES,NEUTRAL,,3,Say yes and agree
"No, I do not want that.",SHORT_PHRASES,NEUTRAL,,3,Say no to something
"Come here right now.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to come
"Wait for me please.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to wait
"Thank you very much.",SHORT_PHRASES,HAPPY,,3,Say thank you
"I do not know.",SHORT_PHRASES,NEUTRAL,,3,Say you don't know
"I am coming soon.",SHORT_PHRASES,NEUTRAL,,3,Say you will come
"Please help me.",SHORT_PHRASES,NEUTRAL,,3,Ask for help
"Be careful now.",SHORT_PHRASES,NEUTRAL,,3,Warn someone to be careful
"Good morning to you.",SHORT_PHRASES,NEUTRAL,,3,Say good morning
"Good night everyone.",SHORT_PHRASES,NEUTRAL,,3,Say good night
"How are you today?",SHORT_PHRASES,QUESTION,,3,Ask how someone is
"I am fine thanks.",SHORT_PHRASES,HAPPY,,3,Say you are well
"See you tomorrow.",SHORT_PHRASES,NEUTRAL,,3,Say goodbye until tomorrow
"Let us go now.",SHORT_PHRASES,NEUTRAL,,3,Say let's leave
"Stop doing that.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to stop
"Sit down here.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to sit
"Stand up please.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to stand
"Give it to me.",SHORT_PHRASES,NEUTRAL,,3,Ask for something
"I am hungry now.",SHORT_PHRASES,NEUTRAL,,3,Say you are hungry
"I am very tired.",SHORT_PHRASES,NEUTRAL,,3,Say you are tired
"It is very hot.",SHORT_PHRASES,NEUTRAL,,3,Say it is hot
"It is raining outside.",SHORT_PHRASES,NEUTRAL,,3,Say it is raining
"Let me pass please.",SHORT_PHRASES,NEUTRAL,,3,Ask to be let through
"Move out of the way.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to move
"Call me later today.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to call you
"I will be back.",SHORT_PHRASES,NEUTRAL,,3,Say you will return
"Not yet, be patient.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to wait more
"Hurry up, let us go.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to be fast
"Keep quiet please.",SHORT_PHRASES,NEUTRAL,,3,Ask for silence
"Speak slowly please.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to speak slowly
"I did not hear you.",SHORT_PHRASES,NEUTRAL,,3,Say you couldn't hear
"Say it again please.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to repeat
"Very good, well done.",SHORT_PHRASES,HAPPY,,3,Praise someone
"That is not right.",SHORT_PHRASES,NEUTRAL,,3,Say something is wrong
"OK, I understand now.",SHORT_PHRASES,NEUTRAL,,3,Say you understand
"No problem at all.",SHORT_PHRASES,NEUTRAL,,3,Say there is no issue
"Be quiet right now.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to be quiet
"Come and eat food.",SHORT_PHRASES,NEUTRAL,,3,Call someone to eat
"Wash your hands first.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to wash hands
"Close the door please.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to close door
"Open the window now.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to open window
"Turn off the light.",SHORT_PHRASES,NEUTRAL,,3,Ask to turn light off
"Go to sleep now.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to sleep
"Wake up, it is morning.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to wake up
"Bring me some water.",SHORT_PHRASES,NEUTRAL,,3,Ask for water
"I want to rest.",SHORT_PHRASES,NEUTRAL,,3,Say you want to rest
"God willing, tomorrow.",SHORT_PHRASES,NEUTRAL,,3,Say if God allows tomorrow
"Praise be to God.",SHORT_PHRASES,HAPPY,,3,Give thanks to God
"God is great indeed.",SHORT_PHRASES,HAPPY,,3,Praise God's greatness
"In the name of God.",SHORT_PHRASES,NEUTRAL,,3,Begin something in God's name
"I am going home.",SHORT_PHRASES,NEUTRAL,,3,Say you are going home
"The child is crying.",SHORT_PHRASES,NEUTRAL,,3,Say a child is crying
"The food is ready.",SHORT_PHRASES,HAPPY,,3,Say food is prepared
"Take care, goodbye.",SHORT_PHRASES,NEUTRAL,,3,Say farewell
"I am not feeling well.",SHORT_PHRASES,NEUTRAL,,3,Say you feel sick
"It is getting late.",SHORT_PHRASES,NEUTRAL,,3,Say time is passing
"Do you understand me?",SHORT_PHRASES,QUESTION,,3,Ask if someone understands
"Say it in simple words.",SHORT_PHRASES,NEUTRAL,,3,Ask for simple explanation
"How much does it cost?",SHORT_PHRASES,QUESTION,,3,Ask the price
"That is very expensive.",SHORT_PHRASES,NEUTRAL,,3,Say the price is too high
"I will pay tomorrow.",SHORT_PHRASES,NEUTRAL,,3,Promise to pay later
"Can I borrow this?",SHORT_PHRASES,QUESTION,,3,Ask to borrow something
"This belongs to me.",SHORT_PHRASES,NEUTRAL,,3,Say something is yours
"Where did you go?",SHORT_PHRASES,QUESTION,,3,Ask where someone went
"I was at the market.",SHORT_PHRASES,NEUTRAL,,3,Say you were at the market
"My phone is dead.",SHORT_PHRASES,NEUTRAL,,3,Say your phone has no battery
"I have no money now.",SHORT_PHRASES,NEUTRAL,,3,Say you have no money
"The road is blocked.",SHORT_PHRASES,NEUTRAL,,3,Say the road is closed
"It is very far from here.",SHORT_PHRASES,NEUTRAL,,3,Say a place is far
"Turn left at the junction.",SHORT_PHRASES,NEUTRAL,,4,Tell direction to turn left
"The mosque is nearby.",SHORT_PHRASES,NEUTRAL,,3,Say the mosque is close
"My family is waiting.",SHORT_PHRASES,NEUTRAL,,3,Say your family is waiting
"Let us pray together.",SHORT_PHRASES,NEUTRAL,,3,Invite someone to pray
"I missed you so much.",SHORT_PHRASES,HAPPY,,3,Say you missed someone
"Come back very soon.",SHORT_PHRASES,NEUTRAL,,3,Ask someone to return soon
"The baby is sleeping.",SHORT_PHRASES,NEUTRAL,,3,Say the baby is asleep
"Be strong and brave.",SHORT_PHRASES,NEUTRAL,,3,Encourage someone
"Trust in God always.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to trust God
"We are almost there.",SHORT_PHRASES,NEUTRAL,,3,Say you are nearly arrived
"Watch out, danger ahead.",SHORT_PHRASES,URGENT,,3,Warn of danger
"I am lost right now.",SHORT_PHRASES,NEUTRAL,,3,Say you are lost
"Which way should I go?",SHORT_PHRASES,QUESTION,,3,Ask for directions
"Follow me this way.",SHORT_PHRASES,NEUTRAL,,3,Tell someone to follow
"Pray for our journey.",SHORT_PHRASES,NEUTRAL,,3,Ask prayer for travel
"The market is open today.",SHORT_PHRASES,NEUTRAL,,4,Say the market is open
"My name is Mamadou.",SHORT_PHRASES,NEUTRAL,,3,Say your name
"I speak a little English.",SHORT_PHRASES,NEUTRAL,,4,Say you speak some English
"God bless you and your family.",SHORT_PHRASES,HAPPY,,4,Give blessing to someone
"Travel safely my friend.",SHORT_PHRASES,NEUTRAL,,3,Wish someone safe travel
"I will remember you always.",SHORT_PHRASES,NEUTRAL,,3,Say you won't forget someone
"This is my home village.",SHORT_PHRASES,NEUTRAL,,3,Point to your home place
"The elders have spoken.",SHORT_PHRASES,NEUTRAL,,3,Say the elders decided
"Listen to me carefully.",SHORT_PHRASES,NEUTRAL,,3,Ask for careful attention
"I promise you sincerely.",SHORT_PHRASES,NEUTRAL,,3,Make a sincere promise
"She went to the river.",SHORT_PHRASES,NEUTRAL,,3,Say someone went to river
"The rain will come soon.",SHORT_PHRASES,NEUTRAL,,3,Predict rain is coming
"My cow needs water now.",SHORT_PHRASES,NEUTRAL,,3,Say cattle need water
"He is a good man.",SHORT_PHRASES,NEUTRAL,,3,Describe someone as good
"We arrived safely today.",SHORT_PHRASES,HAPPY,,3,Say you arrived safely
"I was born in Freetown.",SHORT_PHRASES,NEUTRAL,,4,Say where you were born
"She lives near the mosque.",SHORT_PHRASES,NEUTRAL,,3,Say where someone lives
"The children are playing outside in the yard.",PLACE_NAMES,NEUTRAL,,8,Say children play outside
