english_text,category,emotion,instruction,target_duration_sec,hint
"I woke up early this morning before the sun came up to start cooking breakfast.",DAILY_LIFE,NEUTRAL,,11,Say you woke early to cook breakfast
"My mother always makes porridge with groundnuts for the whole family on Sunday mornings.",DAILY_LIFE,NEUTRAL,,12,Talk about Sunday morning porridge with groundnuts
"After eating in the morning, I wash the dishes and sweep the compound before leaving.",DAILY_LIFE,NEUTRAL,,12,Describe morning chores before going out
"The generator ran out of fuel last night so we had no lights until morning came.",DAILY_LIFE,NEUTRAL,,12,Say the generator stopped and there was no light
"I charged my phone at the neighbor's house because our power was cut again.",DAILY_LIFE,NEUTRAL,,10,Say you charged your phone at a neighbor's house
"Every morning I pour water on my face first before doing anything else in the house.",DAILY_LIFE,NEUTRAL,,12,Describe the first thing you do in the morning
"The children refused to eat the rice this morning because there was no stew with it.",DAILY_LIFE,NEUTRAL,,12,Say children refused to eat rice without stew
"My wife left for the market at six in the morning and has not returned yet.",DAILY_LIFE,NEUTRAL,,11,Say your wife went to market early and isn't back
"I need to fill the water containers before the pipe stops running at noon today.",DAILY_LIFE,NEUTRAL,,12,Say you need to fill water before the tap stops
"We sat outside under the mango tree and ate our evening meal together as a family.",DAILY_LIFE,HAPPY,,11,Describe eating dinner together under a tree
"The food finished quickly because there were many visitors at the house yesterday.",DAILY_LIFE,NEUTRAL,,11,Say food ran out because of many visitors
"I spent the whole afternoon cleaning the house from top to bottom before the guests arrived.",DAILY_LIFE,NEUTRAL,,12,Describe cleaning the whole house for guests
"My son forgot his school bag at home and had to come back to collect it.",DAILY_LIFE,NEUTRAL,,11,Say your son forgot his bag and came back for it
"The baby kept crying all through the night and nobody in the house could sleep.",DAILY_LIFE,NEUTRAL,,11,Say the baby cried all night and no one slept
"We ran out of rice three days ago and have been eating bread and beans since then.",DAILY_LIFE,NEUTRAL,,12,Say you ran out of rice and are eating bread and beans
"I sent my daughter to buy tomatoes and onions from the shop down the road.",DAILY_LIFE,NEUTRAL,,11,Say you sent a child to buy vegetables nearby
"The tap water came on at midnight and we all had to rush outside to fill the drums.",DAILY_LIFE,NEUTRAL,,13,Say the tap came on at midnight and you rushed to fill drums
"My husband works two jobs now to pay the school fees and the rent together.",DAILY_LIFE,NEUTRAL,,11,Say your husband works two jobs for school fees and rent
"The mosquitoes were very bad last night so I lit coils inside the room before sleeping.",DAILY_LIFE,NEUTRAL,,12,Say mosquitoes were bad and you burned coils at night
"We cooked jollof rice with fried fish and plantain for the naming ceremony yesterday.",DAILY_LIFE,HAPPY,,11,Describe cooking jollof rice and fish for a ceremony
