english_text,category,emotion,instruction,target_duration_sec
"Good morning my dear friend, how did you sleep last night at home?",GREETINGS,NEUTRAL,,13
"Hello everybody in this place, I am so happy to see all of you here today",GREETINGS,HAPPY,,13
"Good afternoon to you, I really hope your whole day is going well so far",GREETINGS,NEUTRAL,,13
"Welcome to our small house, please come right inside and sit down with us",GREETINGS,HAPPY,,13
"Goodbye my good friend, I will surely see you again next week at the market",GREETINGS,NEUTRAL,,13
"Good evening to you, how was your work today, are you feeling very tired now?",GREETINGS,NEUTRAL,,13
"It is so nice to finally meet you, I am coming all the way from Freetown",GREETINGS,HAPPY,,13
Thank you very much for coming to visit me here at my house today,GREETINGS,HAPPY,,13
"How are you doing these days, I have not seen you for such a long time now",GREETINGS,NEUTRAL,,13
Please greet your dear mother and father for me when you finally go back home,GREETINGS,NEUTRAL,,13
"Good night everybody here, sleep very well and I will see all of you again tomorrow",GREETINGS,NEUTRAL,,13
"Hey my brother, where have you been hiding all this very long time from us?",GREETINGS,EXCITED,,13
"Welcome back home again, we really missed you so very much around here every day",GREETINGS,HAPPY,,13
"I am doing fine thank you, and how is your whole family doing these days?",GREETINGS,NEUTRAL,,13
"Good morning teacher, I am very ready to learn many new things today in class",GREETINGS,NEUTRAL,,13
"Hello dear sister, please come and sit down with me under the big mango tree",GREETINGS,HAPPY,,13
It has been such a very long time since I last saw your beautiful face around here,GREETINGS,NEUTRAL,,13
"Peace be with you my dear friend, how is everything going at your home these days?",GREETINGS,NEUTRAL,,13
"Welcome to our small village, please let me show you all around this beautiful place today",GREETINGS,HAPPY,,13
"Good morning my kind neighbor, can you hear all the roosters crowing so loudly outside today?",GREETINGS,NEUTRAL,,13
"How are all the children doing at home, are they all still healthy and growing strong?",GREETINGS,NEUTRAL,,13
I am greeting you today on behalf of my whole family back at our village home,GREETINGS,NEUTRAL,,13
"Please do come back again very soon, my door is always open wide for you anytime",GREETINGS,HAPPY,,13
"Hello my dear, I brought something very small but nice for you from the market today",GREETINGS,HAPPY,,13
"Safe journey my dear friend, may God always protect you well on your long road ahead",GREETINGS,NEUTRAL,,13
"Good morning everybody sitting here in this room, let us please start our meeting right now",GREETINGS,NEUTRAL,,13
"Hey my cousin, I just heard that you came back from visiting the village last week",GREETINGS,EXCITED,,13
"Thank you so much for helping me out yesterday, you are truly a very kind and good person",GREETINGS,HAPPY,,13
"Goodbye for now my friend, but I do promise that I will come back again very soon",GREETINGS,NEUTRAL,,13
"How is your wife doing, please tell her I said hello and I am thinking about her",GREETINGS,NEUTRAL,,13
I greet you all in the name of peace and I hope we can talk together well today,GREETINGS,NEUTRAL,,13
"Hey old friend, I was just thinking about you yesterday when I was walking through the market",GREETINGS,HAPPY,,13
"Good morning to the whole community, I am very glad to be standing here with all of you",GREETINGS,HAPPY,,13
"Welcome home safe and sound, we have been waiting and praying for your return every single day",GREETINGS,HAPPY,,13
"Hello there young man, where are you going in such a big hurry this early morning time?",GREETINGS,NEUTRAL,,13
"Good afternoon everybody, I hope you all had something very good to eat for your lunch today",GREETINGS,NEUTRAL,,13
It makes my heart so happy to see your face again after such a very long time apart,GREETINGS,HAPPY,,13
"Please sit down and rest your tired feet, let me bring you some clean water to drink first",GREETINGS,NEUTRAL,,13
"Good evening to you sir, I came to ask you something very important about tomorrow morning please",GREETINGS,NEUTRAL,,13
I bring warm greetings from your uncle who lives far away in the other village across the river,GREETINGS,NEUTRAL,,13
"Hey my good friend, I have some really exciting news that I want to share with you right now",GREETINGS,EXCITED,,13
Thank you for always being so kind and generous to me and my family throughout all these years,GREETINGS,HAPPY,,13
"Good morning class, today we are going to learn about something very interesting and new together as a group",GREETINGS,NEUTRAL,,13
"Hello to all the women here today, I am happy that we can all meet together again this week",GREETINGS,HAPPY,,13
Please tell your brother that I will come to visit him at his shop sometime next week for sure,GREETINGS,NEUTRAL,,13
"Good night to you my child, close your eyes now and get some very good sleep until tomorrow morning",GREETINGS,NEUTRAL,,13
I am so grateful that you took the time out of your busy day to come and see me here,GREETINGS,HAPPY,,13
