english_text,category,emotion,instruction,target_duration_sec,hint
"The poda poda was so full that passengers were hanging off the back door all the way.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the minibus was so full people hung off the back
"I waited two hours at the motor park before a vehicle finally came going my direction.",LOCAL_SCENARIOS,NEUTRAL,,11,Say you waited two hours at the motor park for a vehicle
"The okada rider charged double because the road was flooded and the way was very long.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the motorbike taxi doubled the fare for the flooded road
"We stood in a long queue at the mobile money agent because the network was down.",LOCAL_SCENARIOS,NEUTRAL,,11,Say you queued at mobile money while the network was down
"The village chief called a community meeting to discuss the boundary of the farmland.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the chief called a meeting about farmland boundaries
"The mining company offered jobs to young men from the village and many accepted quickly.",LOCAL_SCENARIOS,NEUTRAL,,11,Say a mining company offered jobs and young men joined
"Electricity only comes in the evening hours and goes off again before midnight every day.",LOCAL_SCENARIOS,NEUTRAL,,11,Say electricity comes in the evening and goes off before midnight
"The paramount chief settled the land dispute and both families accepted his decision.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the chief settled a land dispute and both sides accepted
"We formed a savings group in our neighborhood where we all contribute each week.",LOCAL_SCENARIOS,NEUTRAL,,11,Say your neighborhood has a weekly savings group
"The community came together to repair the road that was washed away by the rains.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the community joined to fix a road washed out by rain
"The street lights in our area have not worked for the past three months now.",LOCAL_SCENARIOS,NEUTRAL,,10,Say street lights have been off for three months
"Young people from the village travel to the diamond mining areas to look for work.",LOCAL_SCENARIOS,NEUTRAL,,11,Say young people go to diamond mines looking for work
"The school PTA held a fundraiser to buy new chairs and desks for the classrooms.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the school PTA raised money for new chairs and desks
"Mobile money has made it easier to send money to family in distant villages.",LOCAL_SCENARIOS,NEUTRAL,,11,Say mobile money makes sending money to villages easier
"The market women went on strike to protest the new fees being charged for their spaces.",LOCAL_SCENARIOS,NEUTRAL,,11,Say market women struck to protest new market fees
"I registered to vote last month and I am very excited about the upcoming elections.",LOCAL_SCENARIOS,NEUTRAL,,10,Say you registered to vote and are excited about elections
"The election results were announced and there was dancing in the streets all night long.",LOCAL_SCENARIOS,HAPPY,,11,Say election results led to dancing in the streets all night
"The bridge collapsed during the floods and now the whole community is cut off from town.",LOCAL_SCENARIOS,NEUTRAL,,12,Say a bridge collapsed in floods and cut off the community
"Water pressure is so low that the water barely reaches the upper floors of our building.",LOCAL_SCENARIOS,NEUTRAL,,11,Say water pressure is too low to reach upper floors
"The neighborhood development committee organized a cleanup of the main road last Saturday.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the development committee organized a road cleanup
"Fuel scarcity has made the cost of transport very expensive for everyone right now.",LOCAL_SCENARIOS,NEUTRAL,,11,Say fuel shortage has made transport very expensive
"My nephew passed the WAEC exam with six credits and the whole family celebrated together.",LOCAL_SCENARIOS,HAPPY,,11,Say a nephew passed WAEC exams with six credits
"The nurse at the health center gives free malaria medicine to children under five years.",LOCAL_SCENARIOS,NEUTRAL,,12,Say the health center gives free malaria medicine to under-fives
"During the dry season water trucks come around to sell water to our compound daily.",LOCAL_SCENARIOS,NEUTRAL,,11,Say water trucks sell to the compound in dry season
"The school feeding program stopped last term and many children are coming to school hungry.",LOCAL_SCENARIOS,NEUTRAL,,12,Say the school feeding program stopped and children come hungry
"My friend paid a deposit on a room in a new compound that is still being built.",LOCAL_SCENARIOS,NEUTRAL,,11,Say a friend paid deposit on a room under construction
"The pastor announced that the church will help pay school fees for orphans this term.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the church will pay school fees for orphans
"The landlord raised the rent and said we must pay in full or move out by month end.",LOCAL_SCENARIOS,NEUTRAL,,11,Say landlord raised rent and demands payment or eviction
"Rice prices went up after the harvest failed in the northern region this year.",LOCAL_SCENARIOS,NEUTRAL,,11,Say rice prices rose after a failed harvest in the north
"Our compound has a borehole that was drilled by an NGO and we share it with six families.",LOCAL_SCENARIOS,NEUTRAL,,11,Say an NGO drilled a borehole shared by six families
"The police set up a checkpoint on the road and checked everyone's documents very carefully.",LOCAL_SCENARIOS,NEUTRAL,,11,Say police set up a checkpoint and checked everyone's papers
"The community health worker came door to door giving out bed nets to all the households.",LOCAL_SCENARIOS,NEUTRAL,,12,Say a health worker gave bed nets to every household
"My cousin was chosen by the village to go to the city and study nursing at the hospital.",LOCAL_SCENARIOS,NEUTRAL,,11,Say a cousin was chosen by the village to study nursing
"The NGO built a community well but the pump broke after only six months of use.",LOCAL_SCENARIOS,NEUTRAL,,11,Say an NGO built a well but the pump broke in six months
"We had a power outage for four days straight last week and the food in the fridge spoiled.",LOCAL_SCENARIOS,NEUTRAL,,12,Say a four-day power cut caused the fridge food to spoil
"They are building a new health center on the hill and people are very pleased about it.",LOCAL_SCENARIOS,HAPPY,,11,Say a new health center is being built and people are happy
"The market has a new section for electronic phones and accessories at the back now.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the market has a new phone accessories section at the back
"My uncle worked in the diamond mines for twenty years and came back with very little money.",LOCAL_SCENARIOS,NEUTRAL,,11,Say uncle worked in mines twenty years and came back poor
"The rainy season road condition means it takes twice as long to reach the next town.",LOCAL_SCENARIOS,NEUTRAL,,11,Say rainy season roads double the journey time to the next town
"The imam organized a food distribution for the poor at the mosque after Friday prayers.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the imam distributed food to the poor after Friday prayers
"Young men formed a vigilante group to patrol the village at night after several robberies.",LOCAL_SCENARIOS,NEUTRAL,,11,Say young men patrol the village at night after robberies
"The government secondary school charges fees even though it is supposed to be free.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the government school charges fees though it should be free
"We had to carry the sick woman on a hammock to the road because there was no vehicle.",LOCAL_SCENARIOS,NEUTRAL,,11,Say a sick woman was carried by hammock to reach the road
"The water supply was cut off for two weeks because someone broke the main pipe.",LOCAL_SCENARIOS,NEUTRAL,,11,Say the water supply was cut for two weeks after pipe damage
"The community built a small bridge over the stream using local timber and rope.",LOCAL_SCENARIOS,HAPPY,,10,Say the community built a timber and rope bridge over a stream
"During elections the poda podas are free because the politicians pay for everyone's fare.",LOCAL_SCENARIOS,NEUTRAL,,12,Say minibuses are free during elections because politicians pay
"The land registration process takes months and requires so many documents at the office.",LOCAL_SCENARIOS,NEUTRAL,,11,Say land registration takes months and needs many documents
"Every family in the village is expected to contribute labor to build the community hall.",LOCAL_SCENARIOS,NEUTRAL,,11,Say all families must contribute labor for the community hall
"The youth group planted trees along both sides of the main road through the town.",LOCAL_SCENARIOS,HAPPY,,10,Say the youth group planted trees along the main road
"Many teachers have moved to the city because the salary is too low to live in the village.",LOCAL_SCENARIOS,NEUTRAL,,12,Say teachers moved to city because village salary is too low
