audio_filepath,speaker_id,text,eng_text
/data/krio/wavs/kri_speaker_0001_00001.wav,kri_speaker_0001,"Kushe, a gladi fo mit yu",Hello nice to meet you
/data/krio/wavs/kri_speaker_0001_00002.wav,kri_speaker_0001,"Usai yu de go?",Where are you going?
/data/krio/wavs/kri_speaker_0001_00003.wav,kri_speaker_0001,"Omuch fo dis wan?",How much does this cost?
/data/krio/wavs/kri_speaker_0002_00001.wav,kri_speaker_0002,"Di klinik de opin na eit oklok na mɔnin",The clinic opens at eight in the morning
/data/krio/wavs/kri_speaker_0002_00002.wav,kri_speaker_0002,"A want fo bay tu kɔp res",I want to buy two cups of rice
/data/krio/wavs/kri_speaker_0002_00003.wav,kri_speaker_0002,"Di rod fɔ Makeni tranga bad",The road to Makeni is very bad
/data/krio/wavs/kri_speaker_0003_00001.wav,kri_speaker_0003,"Mi mama de na maket naw",My mother is at the market now
/data/krio/wavs/kri_speaker_0003_00002.wav,kri_speaker_0003,"Sɛn mi fayv leon pan dis nɔmba",Send me five leones on this number
/data/krio/wavs/kri_speaker_0003_00003.wav,kri_speaker_0003,,"The government built a new bridge over the stream"
/data/krio/wavs/kri_speaker_0004_00001.wav,kri_speaker_0004,"Ren de kam, mek wi go na os",Rain is coming let us go home
