english_text,category,emotion,instruction,target_duration_sec,hint
"Good morning to all of you, may this day bring you peace and many blessings.",GREETINGS,HAPPY,,9,Greet a group in the morning and wish them blessings
"Peace be upon you and upon your entire household and all the people you love.",GREETINGS,NEUTRAL,,9,Give the Islamic greeting of peace
"And upon you also be peace, welcome to our village, you are most welcome here.",GREETINGS,HAPPY,,9,Return the greeting of peace and welcome a visitor
"How did you sleep, did the mosquitoes disturb you, or did you rest well last night?",GREETINGS,QUESTION,,10,Ask how someone slept and if mosquitoes disturbed them
"I slept very well, thank God, the breeze came and it was cool all through the night.",GREETINGS,HAPPY,,10,Say you slept well thanks to a cool breeze
"Welcome home, we have been waiting for you, come and sit and eat with us.",GREETINGS,HAPPY,,9,Welcome someone home and invite them to eat
"How is the family at home, are the children well and the old people keeping strong?",GREETINGS,QUESTION,,10,Ask about someone's family and elderly relatives
"Everyone is fine, thank God, and we pray God keeps you and your own family well too.",GREETINGS,HAPPY,,10,Say all are well and pray for the other person's family
"It has been a very long time since I saw you, where have you been hiding yourself?",GREETINGS,HAPPY,,10,Say it's been long and ask where someone has been
"I have been busy with the farm and the children, time flies when there is so much to do.",GREETINGS,NEUTRAL,,10,Say you've been busy with farm and children
"Welcome to our home, please sit down and let us bring you something to drink first.",GREETINGS,HAPPY,,9,Welcome a guest and offer them a drink
"Good evening to you and your family, I hope the day was good to all of you.",GREETINGS,NEUTRAL,,8,Give an evening greeting and hope their day was good
"Good afternoon, may your afternoon be full of good news and God's blessing.",GREETINGS,NEUTRAL,,8,Give an afternoon greeting with blessings
"Come in, come in, do not stand at the door, this is your own home too.",GREETINGS,HAPPY,,8,Invite someone in warmly and make them feel at home
"How are the children growing? Are they eating well and going to school every day?",GREETINGS,QUESTION,,9,Ask how the children are growing and attending school
"Thank God they are all well and getting bigger every day, the youngest just started walking.",GREETINGS,HAPPY,,10,Say children are growing and the youngest just learned to walk
"We have not seen you in so long, have you come back to stay or just passing through?",GREETINGS,QUESTION,,10,Ask if someone has returned for good or just passing through
"I have come back for good, I missed this place and these people too much to stay away.",GREETINGS,HAPPY,,10,Say you came back for good because you missed home
"You have grown so tall and strong since the last time I saw you, look at you now!",GREETINGS,HAPPY,,9,Express surprise at how much someone has grown
